device,region,latency_ms,errors,cpu_percent,packet_loss_percent,status
edge1,nyc2,110,3,57,0,warning
router2,dc1,63,3,79,0.91,warning
router3,nj1,50,1,44,0,ok
edge4,nyc2,144,3,68,0.61,critical
firewall5,nj1,46,1,32,1.65,warning
switch6,nyc2,39,0,58,1.37,warning
switch7,phl1,32,7,56,1.59,critical
switch8,dc1,32,1,51,0,ok
edge9,dc1,22,4,77,0.86,warning
router10,nyc1,62,0,58,1.42,warning
edge11,dc1,109,0,55,1.64,warning
edge12,phl1,55,4,18,0,warning
core13,nj1,12,0,7,0,ok
router14,nyc2,55,0,33,0.45,ok
core15,dc1,50,2,51,4.4,critical
ap16,nyc1,42,1,91,0,critical
router17,nyc2,82,0,60,0,warning
router18,nyc2,27,1,30,0,ok
router19,nyc2,97,0,43,0.15,warning
switch20,nj1,87,1,49,0,warning
switch21,nyc2,75,8,49,2.27,critical
core22,nj1,57,1,35,0,ok
core23,phl1,78,3,69,2.59,critical
router24,nyc1,168,2,49,1.48,critical
core25,phl1,205,0,31,1.0,critical
switch26,nj1,125,4,42,0,critical
edge27,nyc1,1,0,60,0,ok
edge28,phl1,48,3,39,0,warning
edge29,phl1,69,4,69,0,warning
core30,nyc2,1,1,12,0.47,ok
ap31,nj1,39,3,18,0.92,warning
switch32,phl1,46,2,45,0,warning
ap33,nj1,47,3,85,0.24,warning
core34,phl1,98,1,18,0.04,warning
firewall35,nyc1,59,1,19,1.93,warning
router36,nyc2,220,0,69,1.44,critical
switch37,dc1,98,3,51,1.24,warning
edge38,nyc1,84,1,44,0,warning
ap39,phl1,136,2,68,0,critical
firewall40,nyc2,78,1,17,0,ok
firewall41,phl1,9,5,55,0,critical
switch42,nj1,92,3,24,3.41,critical
switch43,nyc2,48,0,93,0,critical
firewall44,nj1,5,1,23,0,ok
router45,dc1,119,2,42,0,warning
router46,phl1,69,1,53,4.54,critical
ap47,nj1,35,1,24,0,ok
router48,dc1,4,2,36,0.07,warning
firewall49,nj1,34,1,75,0.07,warning
firewall50,dc1,27,1,48,1.29,warning
core51,nj1,222,0,7,1.23,critical
firewall52,dc1,44,0,62,0,ok
router53,nj1,1,4,49,1.09,warning
edge54,nyc1,53,0,28,0,ok
ap55,nyc2,118,4,53,2.13,critical
core56,dc1,109,2,41,0.57,warning
router57,nj1,32,2,91,0.26,critical
ap58,nj1,113,5,19,5.06,critical
router59,phl1,31,2,42,0,warning
core60,nj1,36,0,33,4.85,critical
firewall61,nj1,45,0,23,0,ok
edge62,phl1,65,2,24,0.0,warning
core63,nj1,48,3,74,0.69,warning
firewall64,nyc2,59,0,53,0.89,warning
core65,nj1,2,0,23,0.73,ok
switch66,nyc2,38,2,61,0,warning
edge67,nyc2,52,4,47,0,warning
router68,phl1,55,0,17,1.21,warning
router69,nyc1,98,1,35,0,warning
edge70,phl1,37,0,35,1.25,warning
switch71,dc1,80,0,64,0.2,ok
firewall72,phl1,80,2,67,0.16,warning
router73,nyc2,17,0,42,1.45,warning
switch74,nyc1,64,0,66,0.31,ok
router75,nyc2,213,0,44,0.32,critical
ap76,dc1,60,0,16,0,ok
firewall77,nyc2,124,1,47,2.38,critical
ap78,dc1,49,1,73,0.56,warning
edge79,nyc1,23,0,41,0,ok
firewall80,nyc2,92,1,27,0.49,warning
switch81,dc1,80,1,18,2.42,critical
firewall82,nyc2,154,2,51,0,critical
firewall83,phl1,1,2,41,0.96,warning
switch84,nyc1,197,2,77,0.67,critical
edge85,nyc1,1,3,53,0.29,warning
firewall86,dc1,33,0,78,1.25,warning
edge87,nj1,60,3,26,0,warning
edge88,nyc1,82,1,40,0.76,warning
edge89,nj1,251,3,32,0.94,critical
router90,phl1,138,0,48,0.18,critical
core91,phl1,17,1,64,0.89,warning
edge92,nj1,25,0,60,0.56,ok
switch93,nj1,50,2,64,1.03,warning
